Region,Brott,År,Period,Antal
Haninge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Feb,86
Haninge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Mar,152
Haninge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Apr,152
Haninge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Maj,138
Haninge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Jun,108
Haninge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Jul,97
Haninge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Aug,116
Haninge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Sep,103
Haninge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Okt,137
Haninge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Nov,125
Haninge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Dec,124
Haninge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Jan,5
Haninge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Feb,0
Haninge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Mar,6
Haninge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Apr,5
Haninge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Maj,9
Haninge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Jun,4
Haninge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Jul,6
Haninge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Aug,4
Haninge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Sep,9
Haninge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Okt,7
Haninge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Nov,6
Haninge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Dec,2
Haninge kommun,6 kap. Sexualbrott,2023 prel.,Jan,5
Haninge kommun,6 kap. Sexualbrott,2023 prel.,Feb,15
Haninge kommun,6 kap. Sexualbrott,2023 prel.,Mar,26
Haninge kommun,6 kap. Sexualbrott,2023 prel.,Apr,21
Haninge kommun,6 kap. Sexualbrott,2023 prel.,Maj,10
Haninge kommun,6 kap. Sexualbrott,2023 prel.,Jun,10
Haninge kommun,6 kap. Sexualbrott,2023 prel.,Jul,11
Haninge kommun,6 kap. Sexualbrott,2023 prel.,Aug,15
Haninge kommun,6 kap. Sexualbrott,2023 prel.,Sep,15
Haninge kommun,6 kap. Sexualbrott,2023 prel.,Okt,7
Haninge kommun,6 kap. Sexualbrott,2023 prel.,Nov,12
Haninge kommun,6 kap. Sexualbrott,2023 prel.,Dec,13
Haninge kommun,7 kap. Brott mot familj,2023 prel.,Jan,3
Haninge kommun,7 kap. Brott mot familj,2023 prel.,Feb,5
Haninge kommun,7 kap. Brott mot familj,2023 prel.,Mar,0
Haninge kommun,7 kap. Brott mot familj,2023 prel.,Apr,3
Haninge kommun,7 kap. Brott mot familj,2023 prel.,Maj,0
Haninge kommun,7 kap. Brott mot familj,2023 prel.,Jun,1
Haninge kommun,7 kap. Brott mot familj,2023 prel.,Jul,2
Haninge kommun,7 kap. Brott mot familj,2023 prel.,Aug,0
Haninge kommun,7 kap. Brott mot familj,2023 prel.,Sep,0
Haninge kommun,7 kap. Brott mot familj,2023 prel.,Okt,1
Haninge kommun,7 kap. Brott mot familj,2023 prel.,Nov,0
Haninge kommun,7 kap. Brott mot familj,2023 prel.,Dec,0
Huddinge kommun,3-7 kap. Brott mot person,2023 prel.,Jan,212
Huddinge kommun,3-7 kap. Brott mot person,2023 prel.,Feb,189
Huddinge kommun,3-7 kap. Brott mot person,2023 prel.,Mar,303
Huddinge kommun,3-7 kap. Brott mot person,2023 prel.,Apr,254
Huddinge kommun,3-7 kap. Brott mot person,2023 prel.,Maj,307
Huddinge kommun,3-7 kap. Brott mot person,2023 prel.,Jun,255
Huddinge kommun,3-7 kap. Brott mot person,2023 prel.,Jul,211
Huddinge kommun,3-7 kap. Brott mot person,2023 prel.,Aug,222
Huddinge kommun,3-7 kap. Brott mot person,2023 prel.,Sep,250
Huddinge kommun,3-7 kap. Brott mot person,2023 prel.,Okt,260
Huddinge kommun,3-7 kap. Brott mot person,2023 prel.,Nov,214
Huddinge kommun,3-7 kap. Brott mot person,2023 prel.,Dec,265
Huddinge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jan,72
Huddinge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Feb,74
Huddinge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Mar,118
Huddinge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Apr,91
Huddinge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Maj,101
Huddinge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jun,86
Huddinge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jul,83
Huddinge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Aug,76
Huddinge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Sep,86
Huddinge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Okt,94
Huddinge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Nov,92
Huddinge kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Dec,108
Huddinge kommun,därav misshandel inkl. grov,2023 prel.,Jan,69
Huddinge kommun,därav misshandel inkl. grov,2023 prel.,Feb,70
Huddinge kommun,därav misshandel inkl. grov,2023 prel.,Mar,110
Huddinge kommun,därav misshandel inkl. grov,2023 prel.,Apr,86
Huddinge kommun,därav misshandel inkl. grov,2023 prel.,Maj,97
Huddinge kommun,därav misshandel inkl. grov,2023 prel.,Jun,82
Huddinge kommun,därav misshandel inkl. grov,2023 prel.,Jul,73
Huddinge kommun,därav misshandel inkl. grov,2023 prel.,Aug,72
Huddinge kommun,därav misshandel inkl. grov,2023 prel.,Sep,82
Huddinge kommun,därav misshandel inkl. grov,2023 prel.,Okt,91
Huddinge kommun,därav misshandel inkl. grov,2023 prel.,Nov,87
Huddinge kommun,därav misshandel inkl. grov,2023 prel.,Dec,104
Huddinge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Jan,116
Huddinge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Feb,99
Huddinge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Mar,148
Huddinge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Apr,143
Huddinge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Maj,178
Huddinge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Jun,146
Huddinge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Jul,107
Huddinge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Aug,131
Huddinge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Sep,136
Huddinge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Okt,148
Huddinge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Nov,102
Huddinge kommun,4 kap. Brott mot frihet och frid,2023 prel.,Dec,143
Huddinge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Jan,10
Huddinge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Feb,5
Huddinge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Mar,13
Huddinge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Apr,4
Huddinge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Maj,7
Huddinge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Jun,6
Huddinge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Jul,6
Huddinge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Aug,4
Huddinge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Sep,10
Huddinge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Okt,1
Huddinge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Nov,6
Huddinge kommun,5 kap. Ärekränkningsbrott,2023 prel.,Dec,5
Huddinge kommun,6 kap. Sexualbrott,2023 prel.,Jan,10
Huddinge kommun,6 kap. Sexualbrott,2023 prel.,Feb,8
Huddinge kommun,6 kap. Sexualbrott,2023 prel.,Mar,22
Huddinge kommun,6 kap. Sexualbrott,2023 prel.,Apr,14
Huddinge kommun,6 kap. Sexualbrott,2023 prel.,Maj,17
Huddinge kommun,6 kap. Sexualbrott,2023 prel.,Jun,15
Huddinge kommun,6 kap. Sexualbrott,2023 prel.,Jul,14
Huddinge kommun,6 kap. Sexualbrott,2023 prel.,Aug,11
Huddinge kommun,6 kap. Sexualbrott,2023 prel.,Sep,17
Huddinge kommun,6 kap. Sexualbrott,2023 prel.,Okt,17
Huddinge kommun,6 kap. Sexualbrott,2023 prel.,Nov,11
Huddinge kommun,6 kap. Sexualbrott,2023 prel.,Dec,7
Huddinge kommun,7 kap. Brott mot familj,2023 prel.,Jan,4
Huddinge kommun,7 kap. Brott mot familj,2023 prel.,Feb,3
Huddinge kommun,7 kap. Brott mot familj,2023 prel.,Mar,2
Huddinge kommun,7 kap. Brott mot familj,2023 prel.,Apr,2
Huddinge kommun,7 kap. Brott mot familj,2023 prel.,Maj,4
Huddinge kommun,7 kap. Brott mot familj,2023 prel.,Jun,2
Huddinge kommun,7 kap. Brott mot familj,2023 prel.,Jul,1
Huddinge kommun,7 kap. Brott mot familj,2023 prel.,Aug,0
Huddinge kommun,7 kap. Brott mot familj,2023 prel.,Sep,1
Huddinge kommun,7 kap. Brott mot familj,2023 prel.,Okt,0
Huddinge kommun,7 kap. Brott mot familj,2023 prel.,Nov,3
Huddinge kommun,7 kap. Brott mot familj,2023 prel.,Dec,2
Järfälla kommun,3-7 kap. Brott mot person,2023 prel.,Jan,168
Järfälla kommun,3-7 kap. Brott mot person,2023 prel.,Feb,148
Järfälla kommun,3-7 kap. Brott mot person,2023 prel.,Mar,181
Järfälla kommun,3-7 kap. Brott mot person,2023 prel.,Apr,161
Järfälla kommun,3-7 kap. Brott mot person,2023 prel.,Maj,229
Järfälla kommun,3-7 kap. Brott mot person,2023 prel.,Jun,167
Järfälla kommun,3-7 kap. Brott mot person,2023 prel.,Jul,141
Järfälla kommun,3-7 kap. Brott mot person,2023 prel.,Aug,149
Järfälla kommun,3-7 kap. Brott mot person,2023 prel.,Sep,171
Järfälla kommun,3-7 kap. Brott mot person,2023 prel.,Okt,204
Järfälla kommun,3-7 kap. Brott mot person,2023 prel.,Nov,188
Järfälla kommun,3-7 kap. Brott mot person,2023 prel.,Dec,174
Järfälla kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jan,51
Järfälla kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Feb,57
Järfälla kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Mar,64
Järfälla kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Apr,55
Järfälla kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Maj,78
Järfälla kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jun,56
Järfälla kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jul,45
Järfälla kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Aug,54
Järfälla kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Sep,52
Järfälla kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Okt,65
Järfälla kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Nov,46
Järfälla kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Dec,56
Järfälla kommun,därav misshandel inkl. grov,2023 prel.,Jan,42
Järfälla kommun,därav misshandel inkl. grov,2023 prel.,Feb,54
Järfälla kommun,därav misshandel inkl. grov,2023 prel.,Mar,58
Järfälla kommun,därav misshandel inkl. grov,2023 prel.,Apr,50
Järfälla kommun,därav misshandel inkl. grov,2023 prel.,Maj,74
Järfälla kommun,därav misshandel inkl. grov,2023 prel.,Jun,50
Järfälla kommun,därav misshandel inkl. grov,2023 prel.,Jul,42
Järfälla kommun,därav misshandel inkl. grov,2023 prel.,Aug,50
Järfälla kommun,därav misshandel inkl. grov,2023 prel.,Sep,50
Järfälla kommun,därav misshandel inkl. grov,2023 prel.,Okt,64
Järfälla kommun,därav misshandel inkl. grov,2023 prel.,Nov,43
Järfälla kommun,därav misshandel inkl. grov,2023 prel.,Dec,54
Järfälla kommun,4 kap. Brott mot frihet och frid,2023 prel.,Jan,97
Järfälla kommun,4 kap. Brott mot frihet och frid,2023 prel.,Feb,76
Järfälla kommun,4 kap. Brott mot frihet och frid,2023 prel.,Mar,96
Järfälla kommun,4 kap. Brott mot frihet och frid,2023 prel.,Apr,92
