Region;Brott;År;Period;Antal;/100 000 inv
Botkyrka kommun;7 kap. Brott mot familj;2022;Jan;2;2;
Botkyrka kommun;7 kap. Brott mot familj;2022;Feb;0;0;
Botkyrka kommun;7 kap. Brott mot familj;2022;Mar;0;0;
Botkyrka kommun;7 kap. Brott mot familj;2022;Apr;1;1;
Botkyrka kommun;7 kap. Brott mot familj;2022;Maj;2;2;
Botkyrka kommun;7 kap. Brott mot familj;2022;Jun;2;2;
Botkyrka kommun;7 kap. Brott mot familj;2022;Jul;1;1;
Botkyrka kommun;7 kap. Brott mot familj;2022;Aug;2;2;
Botkyrka kommun;7 kap. Brott mot familj;2022;Sep;2;2;
Botkyrka kommun;7 kap. Brott mot familj;2022;Okt;5;5;
Botkyrka kommun;7 kap. Brott mot familj;2022;Nov;2;2;
Botkyrka kommun;7 kap. Brott mot familj;2022;Dec;1;1;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jan;29;89;
Danderyd kommun;3-7 kap. Brott mot person;2022;Feb;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2022;Mar;29;89;
Danderyd kommun;3-7 kap. Brott mot person;2022;Apr;21;64;
Danderyd kommun;3-7 kap. Brott mot person;2022;Maj;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jun;42;128;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jul;30;92;
Danderyd kommun;3-7 kap. Brott mot person;2022;Aug;28;86;
Danderyd kommun;3-7 kap. Brott mot person;2022;Sep;73;223;
Danderyd kommun;3-7 kap. Brott mot person;2022;Okt;44;134;
Danderyd kommun;3-7 kap. Brott mot person;2022;Nov;40;122;
Danderyd kommun;3-7 kap. Brott mot person;2022;Dec;29;89;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jan;29;89;
Danderyd kommun;3-7 kap. Brott mot person;2022;Feb;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2022;Mar;29;89;
Danderyd kommun;3-7 kap. Brott mot person;2022;Apr;21;64;
Danderyd kommun;3-7 kap. Brott mot person;2022;Maj;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jun;42;128;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jul;30;92;
Danderyd kommun;3-7 kap. Brott mot person;2022;Aug;28;86;
Danderyd kommun;3-7 kap. Brott mot person;2022;Sep;73;223;
Danderyd kommun;3-7 kap. Brott mot person;2022;Okt;44;134;
Danderyd kommun;3-7 kap. Brott mot person;2022;Nov;40;122;
Danderyd kommun;3-7 kap. Brott mot person;2022;Dec;29;89;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Jan;7;21;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Feb;7;21;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Mar;10;31;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Apr;10;31;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Maj;7;21;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Jun;8;24;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Jul;10;31;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Aug;8;24;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Sep;17;52;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Okt;13;40;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Nov;17;52;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Dec;16;49;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jan;29;89;
Danderyd kommun;3-7 kap. Brott mot person;2022;Feb;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2022;Mar;29;89;
Danderyd kommun;3-7 kap. Brott mot person;2022;Apr;21;64;
Danderyd kommun;3-7 kap. Brott mot person;2022;Maj;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jun;42;128;
