Region;Brott;År;Period;Antal;/100 000 inv
Stockholm kommun;därav misshandel inkl. grov;2022;Jan;628;64;
Stockholm kommun;därav misshandel inkl. grov;2022;Feb;753;77;
Stockholm kommun;därav misshandel inkl. grov;2022;Mar;848;86;
Stockholm kommun;därav misshandel inkl. grov;2022;Apr;829;84;
Stockholm kommun;därav misshandel inkl. grov;2022;Maj;859;87;
Stockholm kommun;därav misshandel inkl. grov;2022;Jun;846;86;
Stockholm kommun;därav misshandel inkl. grov;2022;Jul;772;79;
Stockholm kommun;därav misshandel inkl. grov;2022;Aug;850;87;
Stockholm kommun;därav misshandel inkl. grov;2022;Sep;765;78;
Stockholm kommun;därav misshandel inkl. grov;2022;Okt;865;88;
Stockholm kommun;därav misshandel inkl. grov;2022;Nov;803;82;
Stockholm kommun;därav misshandel inkl. grov;2022;Dec;786;80;
