Region;Brott;År;Period;Antal;/100 000 inv
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Sep;39;119;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Okt;50;153;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Nov;54;165;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Dec;47;144;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Jan;7;21;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Feb;11;34;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Mar;5;15;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Apr;9;28;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Maj;10;31;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Jun;11;34;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Jul;9;28;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Aug;11;34;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Sep;13;40;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Okt;16;49;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Nov;15;46;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Dec;16;49;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jan;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Feb;47;144;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Mar;21;64;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Apr;33;101;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Maj;36;110;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jun;41;125;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jul;35;107;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Aug;45;138;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Sep;39;119;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Okt;50;153;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Nov;54;165;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Dec;47;144;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Jan;7;21;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Feb;11;34;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Mar;5;15;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Apr;9;28;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Maj;10;31;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Jun;11;34;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Jul;9;28;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Aug;11;34;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Sep;13;40;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Okt;16;49;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Nov;15;46;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Dec;16;49;
Danderyd kommun;därav misshandel inkl. grov;2023 prel.;Jan;7;21;
Danderyd kommun;därav misshandel inkl. grov;2023 prel.;Feb;10;31;
Danderyd kommun;därav misshandel inkl. grov;2023 prel.;Mar;4;12;
Danderyd kommun;därav misshandel inkl. grov;2023 prel.;Apr;9;28;
Danderyd kommun;därav misshandel inkl. grov;2023 prel.;Maj;9;28;
Danderyd kommun;därav misshandel inkl. grov;2023 prel.;Jun;10;31;
Danderyd kommun;därav misshandel inkl. grov;2023 prel.;Jul;9;28;
Danderyd kommun;därav misshandel inkl. grov;2023 prel.;Aug;9;28;
Danderyd kommun;därav misshandel inkl. grov;2023 prel.;Sep;12;37;
Danderyd kommun;därav misshandel inkl. grov;2023 prel.;Okt;12;37;
Danderyd kommun;därav misshandel inkl. grov;2023 prel.;Nov;13;40;
Danderyd kommun;därav misshandel inkl. grov;2023 prel.;Dec;15;46;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jan;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Feb;47;144;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Mar;21;64;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Apr;33;101;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Maj;36;110;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jun;41;125;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jul;35;107;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Aug;45;138;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Sep;39;119;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Okt;50;153;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Nov;54;165;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Dec;47;144;
Danderyd kommun;4 kap. Brott mot frihet och frid;2023 prel.;Jan;26;80;
Danderyd kommun;4 kap. Brott mot frihet och frid;2023 prel.;Feb;31;95;
Danderyd kommun;4 kap. Brott mot frihet och frid;2023 prel.;Mar;12;37;
Danderyd kommun;4 kap. Brott mot frihet och frid;2023 prel.;Apr;21;64;
Danderyd kommun;4 kap. Brott mot frihet och frid;2023 prel.;Maj;20;61;
Danderyd kommun;4 kap. Brott mot frihet och frid;2023 prel.;Jun;25;76;
Danderyd kommun;4 kap. Brott mot frihet och frid;2023 prel.;Jul;21;64;
Danderyd kommun;4 kap. Brott mot frihet och frid;2023 prel.;Aug;28;86;
Danderyd kommun;4 kap. Brott mot frihet och frid;2023 prel.;Sep;19;58;
Danderyd kommun;4 kap. Brott mot frihet och frid;2023 prel.;Okt;28;86;
Danderyd kommun;4 kap. Brott mot frihet och frid;2023 prel.;Nov;35;107;
Danderyd kommun;4 kap. Brott mot frihet och frid;2023 prel.;Dec;30;92;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jan;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Feb;47;144;
